Name,Phys,Str,Sls,Thr,Mag,Fire,Light,Dark,Poise,Poison,Bleed,Petrify,Curse,Dur,Weight,Scaling,Prerequisite,Reinforcement,Effect,Def/Weight,Poise/Weight,Mag/Weight,Total Defense,Total Def/Weight
Alonne Captian Helm,53,50,56,53,11,17,7,11,12,6,12,0,0,90,5.1,C,,Titanite,Fire Def +,10.39,2.35,2.25,205,40.2
Alonne Captian Helm+10,106,100,112,106,22,34,15,22,12,11,25,0,0,90,5.1,C,,Titanite,Fire Def +,20.78,2.35,4.56,411,80.59
Alonne Knight Helm,49,47,52,49,9,15,7,9,9,5,10,0,0,80,4.6,C,,Titanite,,10.65,1.96,2.17,188,40.87
Alonne Knight Helm+10,99,94,104,99,18,29,14,18,9,9,21,0,0,80,4.6,C,,Titanite,,21.52,1.96,4.29,376,81.74
Alva Helm,38,36,39,37,10,11,8,11,6,11,15,0,0,80,3.7,C,,Titanite,,10.27,1.62,2.7,152,41.08
Alva Helm+10,75,72,78,74,21,23,16,22,6,22,23,0,0,80,3.7,C,,Titanite,,20.27,1.62,5.54,306,82.7
Archdrake Helm,49,49,49,49,16,15,26,15,7.5,13,11,0,0,80,5.4,C,,Titanite,,9.07,1.39,3.33,219,40.56
Archdrake Helm+10,98,98,98,98,31,30,51,29,7.5,26,22,0,0,80,5.4,C,,Titanite,,18.15,1.39,6.53,435,80.56
Bell Keeper Helmet,52,45,57,55,11,18,5,20,5,8,16,0,0,60,4.8,D,,Titanite,,10.83,1.04,2.81,211,43.96
Bell Keeper Helmet+10,105,90,114,110,22,36,10,40,5,15,31,0,0,60,4.8,D,,Titanite,,21.88,1.04,5.63,422,87.92
Benhart's Knight Helm,69,67,72,69,16,15,14,16,11,18,14,0,0,72,7,C,,Titanite,,9.86,1.57,2.18,269,38.43
Benhart's Knight Helm+10,139,134,144,139,32,30,28,32,11,36,28,0,0,72,7,C,,Titanite,,19.86,1.57,4.36,539,77
Black Dragon Helm,56,54,57,56,8,18,8,8,4,10,14,12,12,225,6.5,C,"14 STR, 14 DEX",Petrified Dragon Bone,,8.62,0.62,1.62,209,32.15
Black Hollow Mage Hood,32,34,31,31,27,19,21,23,0,13,12,12,12,50,1.9,E,,Titanite, INT+1 (Set),16.84,0,11.84,186,97.89
Black Hollow Mage Hood+10,64,67,62,62,54,38,41,45,0,26,24,25,25,50,1.9,E,,Titanite, INT+1 (Set),33.68,0,23.42,369,194.21
Black Hood,23,25,22,22,25,17,17,17,0,10,9,13,12,55,0.9,E,16 INT,Twinkling Titanite,Casting Speed +,25.56,0,21.11,145,161.11
Black Hood+5,35,37,33,33,38,25,25,25,0,16,14,20,18,55,0.9,E,16 INT,Twinkling Titanite,Casting Speed +,38.89,0,31.39,216,240
Black Witch Domino Mask,10,11,9,9,16,8,16,16,0,5,5,17,17,60,0.5,E,20 INT,Twinkling Titanite,"Magic ATK+, HP- ",20,0,28,85,170
Black Witch Domino Mask+10,15,16,14,14,24,12,24,24,0,7,8,26,26,60,0.5,E,20 INT,Twinkling Titanite,"Magic ATK+, HP- (15%)",30,0,42,128,256
Black Witch Hat,19,23,19,19,15,7,15,15,0,7,8,12,12,55,1.5,E,20 INT,Twinkling Titanite,Attunement+1,12.67,0,8.67,113,75.33
Black Witch Hat+5,29,34,28,28,22,11,22,22,0,10,12,18,18,55,1.5,E,20 INT,Twinkling Titanite,Attunement+1,19.33,0,12.83,167,111.33
Black Witch Veil,10,11,10,10,9,7,9,9,0,3,4,5,5,45,0.5,E,,Twinkling Titanite,,20,0,17,65,130
Black Witch Veil+5,15,16,15,15,14,11,13,14,0,5,6,7,7,45,0.5,E,,Twinkling Titanite,,30,0,26,98,196
Bone Crown,32,25,30,30,20,22,18,28,0,16,10,12,20,65,1.7,E,,Twinkling Titanite,,18.82,0,12.94,173,101.76
Bone Crown+5,48,52,46,46,30,34,27,42,0,24,16,19,30,65,1.7,E,,Twinkling Titanite,,28.24,0,19.56,277,162.94
Brigand Hood,22,24,22,20,11,9,8,9,0,9,9,0,0,60,1.2,E,,Titanite,,18.33,0,7.71,103,85.83
Brigand Hood+10,44,48,43,41,22,17,16,19,0,18,18,0,0,60,1.2,E,,Titanite,,36.67,0,15.42,206,171.67
Cale's Helm,39,38,38,40,11,12,9,11,0,17,11,0,0,60,3,D,,Titanite,,13,0,3.58,159,53
Cale's Helm+10,78,77,77,80,22,23,19,22,0,34,21,0,0,60,3,D,,Titanite,,26,0,7.17,320,106.67
Catarina Helm,57,57,67,67,12,14,8,12,9,10,16,0,0,95,4.5,C,,Twinkling Titanite,,12.67,2,2.56,237,52.67
Catarina Helm+5,86,86,100,86,18,20,12,16,9,15,24,0,0,95,4.5,C,,Twinkling Titanite,,19.11,2,3.67,338,75.11
Chaos Hood,23,25,22,22,17,25,17,17,0,10,9,13,12,55,0.9,E,,Twinkling Titanite,Casting Speed +,25.56,0,21.11,145,161.11
Chaos Hood+5,35,37,33,33,25,38,25,25,0,16,14,20,18,55,0.9,E,,Twinkling Titanite,Casting Speed +,38.89,0,31.39,216,240
Creighton's Helm,40,39,41,40,12,13,7,12,6,9,15,0,0,70,4.3,C,,Titanite,,9.3,1.4,2.56,164,38.14
Creighton's Helm+10,80,78,83,80,24,27,14,24,6,18,30,0,0,70,4.3,C,,Titanite,,18.6,1.4,5.17,330,76.74
Dark Mask,44,44,47,42,12,12,8,25,6,12,14,0,0,90,3.8,C,,Twinkling Titanite,FTH & INT +1,11.58,1.58,3.75,190,50
Dark Mask+5,66,66,70,64,17,17,12,37,6,18,21,0,0,90,3.8,C,,Twinkling Titanite,FTH & INT +1,17.37,1.58,5.46,283,74.47
Desert Sorcesress Hood,10,10,10,10,9,6,8,8,0,4,2,6,3,50,0.6,E,,Titanite,INT+3,16.67,0,12.92,61,101.67
Desert Sorcesress Hood+10,20,21,19,19,18,13,15,17,0,7,5,13,6,50,0.6,E,,Titanite,INT+3,33.33,0,26.25,122,203.33
Dingy Hood,14,16,13,13,9,7,8,8,0,5,6,12,12,40,0.8,E,,Titanite,,17.5,0,10,74,92.5
Dingy Hood+10,28,32,27,27,17,15,16,16,0,11,12,25,25,40,0.8,E,,Titanite,,35,0,20,150,187.5
Dingy Hood+5,21,24,20,20,13,11,12,12,0,8,9,18,19,40,0.8,E,,Titanite,,26.25,0,15,112,140
Dragon Acolyte Mask,23,24,22,22,9,9,11,11,0,11,9,0,11,55,1.5,E,,Titanite,,15.33,0,6.67,108,72
Dragon Acolyte Mask+10,45,48,44,44,19,19,22,23,0,21,17,0,21,55,1.5,E,,Titanite,,30,0,13.83,219,146
